id,country,place,hotel,stars,month,date,num_of_nights,num_of_guests,service_type,room_size,price
1,Francuska,La Plagne,Hotel Les Balcons Village,3,Feb,01.02.2026,8,2,polupansion,21 m2,2184€
2,Francuska,Val d'Isere,Hotel Altitude,3,Feb,01.02.2026,7,4,polupansion,35 m2,3863€
3,Francuska,La Plagne,Hotel Les Balcons Village,3,Feb,01.02.2026,15,2,polupansion,21 m2,4620€
4,Francuska,La Plagne,Hotel Les Balcons Village,3,Feb,09.02.2026,8,2,polupansion,21 m2,2436€
5,Francuska,La Plagne,Hotel Les Balcons Village,3,Feb,10.02.2026,8,2,polupansion,21 m2,2436€
6,Francuska,La Plagne,Hotel Les Balcons Village,3,Feb,15.02.2026,8,2,polupansion,21 m2,2772€
7,Francuska,La Plagne,Hotel Les Balcons Village,3,Feb,21.02.2026,8,2,polupansion,21 m2,2772€
8,Francuska,Val d'Isere,Hotel Altitude,3,Feb,21.02.2026,8,2,polupansion,22 m2,4966€
9,Francuska,Val d'Isere,Hotel Altitude,3,Feb,21.02.2026,8,2,polupansion,30 m2,5323€
10,Francuska,Val d'Isere,Hotel Altitude,3,Feb,21.02.2026,8,3,polupansion,30 m2,5323€
11,Francuska,La Plagne,Hotel Les Balcons Village,3,Feb,26.02.2026,15,2,polupansion,21 m2,4382€
12,Italija,Alagna Monterosa,Alagna Mountain Resort & Spa,4,Jan,01.01.2026,8,4,nocenje s doruckom,32 m2,2583€
13,Italija,Alagna Monterosa,Alagna Mountain Resort & Spa,4,Jan,04.01.2026,8,4,nocenje s doruckom,32 m2,2583€
14,Italija,Alagna Monterosa,Alagna Mountain Resort & Spa,4,Jan,17.01.2026,8,4,nocenje s doruckom,32 m2,1869€
15,Italija,Alagna Monterosa,Alagna Mountain Resort & Spa,4,Jan,29.01.2026,8,4,nocenje s doruckom,32 m2,2226€
16,Italija,Kronplatz Plan de Corones,Residence Garni Rautal,3,Jan,01.01.2026,8,2,nocenje s doruckom,30 m2,1170€
17,Italija,Kronplatz Plan de Corones,Residence Garni Rautal,3,Jan,01.01.2026,8,4,nocenje s doruckom,40 m2,1490€
18,Italija,Kronplatz Plan de Corones,Residence Garni Rautal,3,Jan,04.01.2026,8,2,nocenje s doruckom,30 m2,1170€
19,Italija,Kronplatz Plan de Corones,Residence Garni Rautal,3,Jan,04.01.2026,8,4,nocenje s doruckom,40 m2,1490€
20,Italija,Kronplatz Plan de Corones,Residence Garni Rautal,3,Jan,17.01.2026,8,4,nocenje s doruckom,40 m2,1190€
21,Italija,Kronplatz Plan de Corones,Residence Garni Rautal,3,Jan,29.01.2026,8,2,nocenje s doruckom,30 m2,1078€
22,Italija,Kronplatz Plan de Corones,Residence Garni Rautal,3,Jan,29.01.2026,8,4,nocenje s doruckom,40 m2,1344€
23,Italija,Cortina D' Ampezzo,Hotel Alaska Cortina,4,Jan,04.01.2026,8,3,nocenje s doruckom,22 m2,4710€
24,Italija,Pinzolo SkiArea Campiglio,Beverly Hotel,4,Jan,04.01.2026,8,3,nocenje s doruckom,25 m2,2674€
25,Italija,Cortina D' Ampezzo,Hotel Alaska Cortina,4,Jan,29.01.2026,3,2,nocenje s doruckom,19 m2,870€
26,Italija,Cortina D' Ampezzo,Hotel Alaska Cortina,4,Jan,29.01.2026,3,3,nocenje s doruckom,22 m2,684€
27,Italija,Cortina D' Ampezzo,Hotel Alaska Cortina,4,Jan,29.01.2026,3,4,nocenje s doruckom,25 m2,791€
28,Italija,Pinzolo SkiArea Campiglio,Beverly Hotel,4,Jan,29.01.2026,3,3,nocenje s doruckom,25 m2,725€
29,Italija,Madonna Di Campiglio,Style Hotel Grifone,4,Jan,04.01.2026,8,3,nocenje s doruckom,23 m2,3917€
30,Italija,Madonna Di Campiglio,Style Hotel Grifone,4,Jan,04.01.2026,8,4,nocenje s doruckom,25 m2,5173€
31,Italija,Madonna Di Campiglio,Style Hotel Grifone,4,Jan,17.01.2026,14,3,nocenje s doruckom,23 m2,5028€
32,Italija,Livigno,Hotel Touring,4,Jan,17.01.2026,14,4,nocenje s doruckom,45 m2,5874€
33,Italija,Alagna Monterosa,Alagna Mountain Resort & Spa,4,Jan,24.01.2026,8,4,nocenje s doruckom,32 m2,1869€
34,Italija,Kronplatz Plan de Corones,Residence Garni Rautal,3,Jan,24.01.2026,8,2,nocenje s doruckom,30 m2,1008€
35,Italija,Kronplatz Plan de Corones,Residence Garni Rautal,3,Jan,24.01.2026,8,4,nocenje s doruckom,40 m2,1190€
36,Francuska,Chamonix,Hotel Le Morgane,4,Mar,04.03.2026,4,2,nocenje s doruckom,20 m2,1147€
37,Francuska,Chamonix,Hotel Le Morgane,4,Mar,04.03.2026,4,2,nocenje s doruckom,22 m2,1397€
38,Francuska,Chamonix,Hotel Le Morgane,4,Mar,04.03.2026,4,4,nocenje s doruckom,30 m2,1715€
39,Francuska,Chamonix,Hotel Le Morgane,4,Mar,08.03.2026,7,2,nocenje s doruckom,22 m2,2283€
40,Francuska,Chamonix,Hotel Le Morgane,4,Mar,08.03.2026,7,4,nocenje s doruckom,30 m2,2469€
41,Francuska,Chamonix,Hotel Le Morgane,4,Mar,16.03.2026,7,2,nocenje s doruckom,20 m2,1764€
42,Francuska,Chamonix,Hotel Le Morgane,4,Mar,16.03.2026,7,2,nocenje s doruckom,22 m2,2233€
43,Francuska,Chamonix,Hotel Le Morgane,4,Mar,16.03.2026,7,4,nocenje s doruckom,30 m2,2506€
