id,country,place,hotel,stars,month,date,num_of_nights,num_of_guests,service_type,room_size,price
1,1,1,Hotel Les Balcons Village,3,2,13,8,2,4,21,2184
2,1,2,Hotel Altitude,3,2,13,7,4,4,35,3863
3,1,1,Hotel Les Balcons Village,3,2,13,15,2,4,21,4620
4,1,1,Hotel Les Balcons Village,3,2,14,8,2,4,21,2436
5,1,1,Hotel Les Balcons Village,3,2,14,8,2,4,21,2436
6,1,1,Hotel Les Balcons Village,3,2,14,8,2,4,21,2772
7,1,1,Hotel Les Balcons Village,3,2,15,8,2,4,21,2772
8,1,2,Hotel Altitude,3,2,15,8,2,4,22,4966
9,1,2,Hotel Altitude,3,2,15,8,2,4,30,5323
10,1,2,Hotel Altitude,3,2,15,8,3,4,30,5323
11,1,1,Hotel Les Balcons Village,3,2,16,15,2,4,21,4382
12,2,3,Alagna Mountain Resort & Spa,4,1,9,8,4,3,32,2583
13,2,3,Alagna Mountain Resort & Spa,4,1,9,8,4,3,32,2583
14,2,3,Alagna Mountain Resort & Spa,4,1,11,8,4,3,32,1869
15,2,3,Alagna Mountain Resort & Spa,4,1,12,8,4,3,32,2226
16,2,4,Residence Garni Rautal,3,1,9,8,2,3,30,1170
17,2,4,Residence Garni Rautal,3,1,9,8,4,3,40,1490
18,2,4,Residence Garni Rautal,3,1,9,8,2,3,30,1170
19,2,4,Residence Garni Rautal,3,1,9,8,4,3,40,1490
20,2,4,Residence Garni Rautal,3,1,11,8,4,3,40,1190
21,2,4,Residence Garni Rautal,3,1,12,8,2,3,30,1078
22,2,4,Residence Garni Rautal,3,1,12,8,4,3,40,1344
23,2,5,Hotel Alaska Cortina,4,1,9,8,3,3,22,4710
24,2,6,Beverly Hotel,4,1,9,8,3,3,25,2674
25,2,5,Hotel Alaska Cortina,4,1,12,3,2,3,19,870
26,2,5,Hotel Alaska Cortina,4,1,12,3,3,3,22,684
27,2,5,Hotel Alaska Cortina,4,1,12,3,4,3,25,791
28,2,6,Beverly Hotel,4,1,12,3,3,3,25,725
29,2,7,Style Hotel Grifone,4,1,9,8,3,3,23,3917
30,2,7,Style Hotel Grifone,4,1,9,8,4,3,25,5173
31,2,7,Style Hotel Grifone,4,1,11,14,3,3,23,5028
32,2,8,Hotel Touring,4,1,11,14,4,3,45,5874
33,2,3,Alagna Mountain Resort & Spa,4,1,12,8,4,3,32,1869
34,2,4,Residence Garni Rautal,3,1,12,8,2,3,30,1008
35,2,4,Residence Garni Rautal,3,1,12,8,4,3,40,1190
36,1,9,Hotel Le Morgane,4,3,17,4,2,3,20,1147
37,1,9,Hotel Le Morgane,4,3,17,4,2,3,22,1397
38,1,9,Hotel Le Morgane,4,3,17,4,4,3,30,1715
39,1,9,Hotel Le Morgane,4,3,18,7,2,3,22,2283
40,1,9,Hotel Le Morgane,4,3,18,7,4,3,30,2469
41,1,9,Hotel Le Morgane,4,3,19,7,2,3,20,1764
42,1,9,Hotel Le Morgane,4,3,19,7,2,3,22,2233
43,1,9,Hotel Le Morgane,4,3,19,7,4,3,30,2506
44,1,9,Hotel Le Morgane,4,3,19,14,2,3,22,4624
45,1,9,Hotel Le Morgane,4,3,19,14,4,3,30,5753
46,1,9,Hotel Le Morgane,4,3,20,3,2,3,22,504
47,1,9,Hotel Le Morgane,4,3,20,3,4,3,30,712
48,1,9,Hotel Le Morgane,4,3,20,7,2,3,20,1320
49,1,9,Hotel Le Morgane,4,3,20,7,2,3,22,1780
50,1,9,Hotel Le Morgane,4,3,20,7,4,3,30,2247
51,1,9,Hotel Le Morgane,4,3,20,15,2,3,20,3145
52,1,9,Hotel Le Morgane,4,3,20,15,2,3,22,4107
