id,country,place,hotel,stars,month,date,num_of_nights,num_of_guests,service_type,room_size,price
1,Francuska,La Plagne,Hotel Les Balcons Village,3,Feb,01.02.2026,8,2,polupansion,21 m2,2184€
2,Francuska,Val d'Isere,Hotel Altitude,3,Feb,01.02.2026,7,4,polupansion,35 m2,3863€
3,Francuska,La Plagne,Hotel Les Balcons Village,3,Feb,01.02.2026,15,2,polupansion,21 m2,4620€
4,Francuska,Val d'Isere,Hotel Altitude,3,Feb,01.02.2026,14,4,polupansion,35 m2,9163€
5,Francuska,La Plagne,Hotel Les Balcons Village,3,Feb,09.02.2026,8,2,polupansion,21 m2,2436€
6,Francuska,La Plagne,Hotel Les Balcons Village,3,Feb,10.02.2026,8,2,polupansion,21 m2,2436€
7,Francuska,La Plagne,Hotel Les Balcons Village,3,Feb,14.02.2026,15,2,polupansion,21 m2,5544€
8,Francuska,La Plagne,Hotel Les Balcons Village,3,Feb,15.02.2026,8,2,polupansion,21 m2,2772€
9,Francuska,La Plagne,Hotel Les Balcons Village,3,Feb,21.02.2026,8,2,polupansion,21 m2,2772€
10,Francuska,Val d'Isere,Hotel Altitude,3,Feb,21.02.2026,8,2,polupansion,22 m2,4966€
11,Francuska,Val d'Isere,Hotel Altitude,3,Feb,21.02.2026,8,2,polupansion,30 m2,5323€
12,Francuska,Val d'Isere,Hotel Altitude,3,Feb,21.02.2026,8,3,polupansion,30 m2,5323€
13,Francuska,Val d'Isere,Hotel Altitude,3,Feb,21.02.2026,8,4,polupansion,35 m2,6402€
14,Francuska,La Plagne,Hotel Les Balcons Village,3,Feb,26.02.2026,15,2,polupansion,21 m2,4382€
15,Italija,Alagna Monterosa,Alagna Mountain Resort & Spa,4,Jan,01.01.2026,8,4,nocenje s doruckom,32 m2,2583€
16,Italija,Alagna Monterosa,Alagna Mountain Resort & Spa,4,Jan,04.01.2026,8,4,nocenje s doruckom,32 m2,2583€
17,Italija,Alagna Monterosa,Alagna Mountain Resort & Spa,4,Jan,17.01.2026,8,4,nocenje s doruckom,32 m2,1869€
18,Italija,Alagna Monterosa,Alagna Mountain Resort & Spa,4,Jan,29.01.2026,8,4,nocenje s doruckom,32 m2,2226€
19,Italija,Kronplatz Plan de Corones,Residence Garni Rautal,3,Jan,01.01.2026,8,2,nocenje s doruckom,30 m2,1170€
20,Italija,Kronplatz Plan de Corones,Residence Garni Rautal,3,Jan,01.01.2026,8,4,nocenje s doruckom,40 m2,1490€
21,Italija,Kronplatz Plan de Corones,Residence Garni Rautal,3,Jan,04.01.2026,8,2,nocenje s doruckom,30 m2,1170€
22,Italija,Kronplatz Plan de Corones,Residence Garni Rautal,3,Jan,04.01.2026,8,4,nocenje s doruckom,40 m2,1490€
23,Italija,Kronplatz Plan de Corones,Residence Garni Rautal,3,Jan,17.01.2026,8,4,nocenje s doruckom,40 m2,1190€
24,Italija,Kronplatz Plan de Corones,Residence Garni Rautal,3,Jan,29.01.2026,8,2,nocenje s doruckom,30 m2,1078€
25,Italija,Kronplatz Plan de Corones,Residence Garni Rautal,3,Jan,29.01.2026,8,4,nocenje s doruckom,40 m2,1344€
26,Italija,Cortina D' Ampezzo,Hotel Alaska Cortina,4,Jan,04.01.2026,8,3,nocenje s doruckom,22 m2,4710€
27,Italija,Pinzolo SkiArea Campiglio,Beverly Hotel,4,Jan,04.01.2026,8,3,nocenje s doruckom,25 m2,2674€
28,Italija,Cortina D' Ampezzo,Hotel Alaska Cortina,4,Jan,29.01.2026,3,2,nocenje s doruckom,19 m2,870€
29,Italija,Cortina D' Ampezzo,Hotel Alaska Cortina,4,Jan,29.01.2026,3,3,nocenje s doruckom,22 m2,684€
30,Italija,Cortina D' Ampezzo,Hotel Alaska Cortina,4,Jan,29.01.2026,3,4,nocenje s doruckom,25 m2,791€
31,Italija,Pinzolo SkiArea Campiglio,Beverly Hotel,4,Jan,29.01.2026,3,3,nocenje s doruckom,25 m2,725€
32,Italija,Madonna Di Campiglio,Style Hotel Grifone,4,Jan,04.01.2026,8,3,nocenje s doruckom,23 m2,3917€
33,Italija,Madonna Di Campiglio,Style Hotel Grifone,4,Jan,04.01.2026,8,4,nocenje s doruckom,25 m2,5173€
34,Italija,Madonna Di Campiglio,Style Hotel Grifone,4,Jan,17.01.2026,14,3,nocenje s doruckom,23 m2,5028€
35,Italija,Madonna Di Campiglio,Style Hotel Grifone,4,Jan,17.01.2026,14,4,nocenje s doruckom,25 m2,6681€
36,Italija,Livigno,Hotel Touring,4,Jan,17.01.2026,14,4,nocenje s doruckom,45 m2,5874€
37,Italija,Alagna Monterosa,Alagna Mountain Resort & Spa,4,Jan,24.01.2026,8,4,nocenje s doruckom,32 m2,1869€
38,Italija,Kronplatz Plan de Corones,Residence Garni Rautal,3,Jan,24.01.2026,8,2,nocenje s doruckom,30 m2,1008€
39,Italija,Kronplatz Plan de Corones,Residence Garni Rautal,3,Jan,24.01.2026,8,4,nocenje s doruckom,40 m2,1190€
40,Italija,Madonna Di Campiglio,Style Hotel Grifone,4,Jan,24.01.2026,14,2,nocenje s doruckom,18 m2,4430€
41,Italija,Pinzolo SkiArea Campiglio,Beverly Hotel,4,Jan,01.01.2026,15,3,nocenje s doruckom,25 m2,6027€
42,Francuska,Chamonix,Hotel Le Morgane,4,Mar,04.03.2026,4,2,nocenje s doruckom,20 m2,1147€
43,Francuska,Chamonix,Hotel Le Morgane,4,Mar,04.03.2026,4,2,nocenje s doruckom,22 m2,1397€
